idUnified,Li,Na,K,Mg,Ca,Cl,SO4,HCO3,Temperature
476,,1320,225,0.030001,17,,,,260
477,,1200,200,0.050001,17.5,,,,245
478,,9120,1387,0.870001,1475,17634,17.8,,295
479,,5000,1200,0.330001,284,9370,3.6,,300
480,,9630,1410,1.000001,1550,18800,21,,283
481,,6300,577,190.000001,760,11159,528,256.000001,140
482,,5360,529,58.000001,693,9450,213,305.000001,107
483,,440,31,4.000001,8,223,169,467.000001,122
484,,390,31,4.400001,29,205,202,610.000001,112
485,,395,24,2.700001,27,176,270,622.000001,140
486,,420,27,2.500001,15,164,180,579.000001,131
487,,45.6,12.4,,9.1,37.7,16.7,102.000001,240
488,,34.2,3.8,0.140001,9.7,18.2,17.8,83.400001,240
489,,93.2,5.6,,2.1,42,51.5,,240
490,,36.4,4.2,,26.7,17.3,27.3,162.000001,240
491,,143,8.2,,5.1,69.7,85.8,,240
492,,79,6.7,0.290001,20.8,37,35.9,176.000001,240
493,,127,7.4,0.200001,10.2,62.1,67.1,,240
494,,660,112,,,,,426.000001,256
495,,740,140,,,,,140.000001,308
496,,2440,130,,,,,2886.000001,210
497,,685,54,,,,,910.000001,178
498,,582,70,,,,,632.000001,223
499,,824,159,,,,,419.000001,287
500,,151,14.5,0.120001,0.7,,40,278.000001,100
501,,110,7.2,0.100001,3.2,,39,159.000001,105
502,,625,47.2,0.050001,40.7,998,67.5,19.000001,117
503,,40900,6900,125.000001,17400,,,,200
504,,42100,7000,125.000001,16900,,,,214
505,,124,7.8,0.018001,1.4,,,,130
506,,440,41.5,0.130001,8.3,,,,170
